1,1102,988,0.9,5.71
2,420,1399,0.71,13.33
3,259,1640,0.63,8.14
4,75,1673,-0.26,6.42
5,693,2280,0.87,16.23
6,174,2506,0.28,11.09
7,126,2555,0.74,5.9
8,6,2651,-0.93,6.69
9,22,2723,-1.08,7.2
10,313,3107,0.48,13.02
11,341,3357,0.82,11.0
12,272,3573,0.78,7.58
13,259,3841,0.56,11.77
14,1034,4836,0.83,21.01
15,348,5101,0.87,7.95
16,216,5537,0.17,14.06
17,11,5604,-1.24,6.88
18,82,5636,-0.02,6.69
19,268,6444,0.06,19.01
20,352,6578,1.92,9.02
21,188,6740,0.52,9.92
22,1031,7963,0.64,22.93
23,122,7995,1.16,6.21
24,56,8044,-0.63,7.03
25,70,8081,-0.49,6.5
26,266,8533,0.25,13.63
27,486,8758,1.72,11.55
28,136,8804,1.13,6.27
29,37,8889,-0.76,6.3
30,562,9023,3.5,7.5
31,109,9051,0.88,5.87
32,164,9166,0.62,7.84
33,233,9410,0.49,12.18
34,201,9660,0.36,11.13
35,243,9809,0.98,6.84
36,198,10262,0.14,15.56
37,293,10626,0.45,13.05
38,0,10697,-1.27,6.82
39,7,10758,-1.43,6.81
40,169,10794,2.4,5.98
41,26,10829,-1.74,6.31
42,373,11144,0.8,12.24
43,322,11449,0.71,9.89
44,78,11500,-0.13,6.25
45,540,11748,1.76,9.85
46,83,11884,-0.14,7.43
47,26,11986,-0.64,7.71
48,42,12014,-1.57,5.81
49,167,12902,-0.05,21.0
50,194,13367,0.11,19.17
51,54,13427,-0.63,6.62
52,336,13883,0.4,16.84
53,235,14290,0.25,16.01
54,483,14566,1.37,10.72
55,368,14975,0.58,14.8
56,6,15072,-0.97,7.64
57,1043,16571,0.53,19.44
58,481,17162,0.57,14.63
59,287,17363,0.91,9.89
60,90,17392,0.05,6.21
61,78,17473,-0.15,7.53
62,26,17508,-1.76,5.98
63,220,17808,0.36,11.8
64,351,18029,1.12,9.84
65,131,18058,1.6,5.64
66,943,19530,0.47,33.77
67,332,19615,2.83,7.2
68,349,19752,1.84,9.9
69,29,19786,-1.72,5.76
70,145,19827,1.49,6.05
71,679,21326,0.29,27.66
72,155,21784,0.03,14.12
73,300,22489,0.14,18.54
74,356,22671,1.42,8.58
75,137,22719,1.04,6.36
76,482,23009,1.32,11.77
77,220,23178,0.69,9.17
78,52,23256,-0.69,6.18
79,121,23289,1.23,6.53
80,204,23538,0.39,10.07
81,536,23817,1.5,9.97
82,115,23875,0.5,7.11
83,64,23962,-0.3,6.51
84,165,23996,2.41,6.6
85,0,24094,-0.96,7.89
86,45,24157,-0.74,6.43
87,20,24221,-1.14,5.94
88,15,24280,-1.33,6.12
89,584,24647,1.26,10.27
90,333,24811,1.38,9.75
91,1177,26339,0.61,32.05
92,7,26434,-0.99,7.67
93,256,26557,1.28,7.48
94,0,26628,-1.3,6.28
95,0,26692,-1.41,7.45
96,390,26970,1.02,10.16
97,43,26998,-1.55,5.82
98,3,27096,-1.0,7.55
99,63,27169,-0.41,6.0
100,72,27221,-0.3,6.35
